Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
US2025278920A1,COMPUTER IMPLEMENTED METHOD AND SYSTEM FOR SEMANTIC SEGMENTATION OF WORKSITE,2024-03-01,2025-09-04,L1 Perception,,N,[strong]semantic segmentation,,"A semantic segmentation model generates semantic segmentation data indicating locations and types of elements at a worksite. The semantic segmentation model generates the semantic segmentation data based on an image depicting the worksite, elevation data indicated by a digital surface model of the worksite, and slope data derived from the digital surface model. Post-processing may enhance the gene"
US2025327279A1,SITE PLANNING AND STAKEOUT USING MACHINE PERCEPTION,2024-04-17,2025-10-23,L1 Perception,,N,[strong]\bperception\b,,"A stakeout system is constructed to stakeout a worksite according to a site plan. The system includes a set of fiducial markers, each being associated with a corresponding construction operation performed at the worksite. A set of sensors having diverse sensory modalities generate respective signals from which information associated with the construction operation is conveyed. A processor is const"
US2025333931A1,HAULING MACHINE LOADING USING MACHINE PERCEPTION,2024-04-29,2025-10-30,L1 Perception,,N,[strong]\bperception\b,,A loading system is constructed to load a hauling machine by a loading machine. The system includes a fiducial marker affixed to the hauling machine. A set of sensors of diverse sensory modalities is deployed on the loading machine that generate respective signals indicative of the fiducial marker in the corresponding sensor modalities. A processor on the loading machine determines a machine orien
US2025370472A1,Perception-Based Navigation for Mobile Machines,2024-05-30,2025-12-04,L1 Perception,,N,[strong]\bperception\b,,"To assist operation of a perception-based location and navigation system, a computer-implemented system and method can determine if a physical marker at a worksite is perceptibly obstructed. Worksite data can be gathered from the physical worksite and/or a worksite map in computer readable format. The worksite data is analyzed with respect to the worksite map to determine if the physical marker is"
US2025370456A1,Perception-Based Navigation for Mobile Machines,2024-05-30,2025-12-04,L1 Perception,L2 Localisation,N,[strong]\bperception\b | [strong]locali[sz]ation,,A map generation application and method generates a computer-readable worksite map for managing navigation and travel for a plurality of mobile machines equipped with perception-based localization and navigation systems at a worksite. Survey data and development data associated with the worksite are obtained and used to prepare an unmarked worksite development map including one or more travel/acti
US2025370463A1,Perception-Based Worksite Control System,2024-05-30,2025-12-04,L1 Perception,,N,[strong]object detection | [strong]\bperception\b,,A control system manages a plurality of mobile machines each equipped with a visual perception system to capture perception data. The control system via an onboard controller applies an object detection operation to the perception data to detect a detected marker position corresponding to a visual marker. The onboard controller assesses an assessed marker heath status with respect to the detected 
US2025369772A1,Perception-Based Navigation for Mobile Machines,2024-05-30,2025-12-04,L1 Perception,L2 Localisation,N,[strong]\bperception\b | [strong]locali[sz]ation,,A map generation application and method generates a computer-readable worksite map for managing navigation and travel for a plurality of mobile machines equipped with perception-based localization and navigation systems at a worksite. Survey data and development data associated with the worksite are obtained and used to prepare an unmarked worksite development map including one or more travel/acti
US2025375887A1,AUTONOMOUS ENERGY TRANSFER SYSTEM,2024-06-06,2025-12-11,L1 Perception,,Y,[weak+aut]\bcamera\b,autonom,An autonomous energy transfer system includes a robotic system that includes an end effector; a slide system for moving the robotic system; a cable management system for managing energy transfer cables; an energy transfer outlet system for the energy transfer cables; a first camera system for obtaining image data associated with a receptacle access point of a work machine; a second camera system f
US2026015831A1,SYSTEM AND METHOD OF OPERATING PERCEPTION DEVICES IN MOBILE MACHINES,2024-07-11,2026-01-15,L1 Perception,,N,[strong]\bperception\b,,A system for operating a radar device of a mobile machine is disclosed. The system includes an actuator operably coupled between the radar device and an exterior of the mobile machine. The system further includes a controller configured to receive an input indicative of a ground speed of the mobile machine. The controller is further configured to control the actuator to tilt the radar device with 
US12646213B2,Techniques for extrinsic sensor calibration using mobile device,2024-07-12,2026-06-02,L1 Perception,,N,[strong]lidar | [strong]\bperception\b,,"Techniques are described for calibrating a coordinate frame of a remote sensing sensor of a perception system of a machine with respect to a coordinate frame of the machine. An application of a mobile device, such as a smartphone, a tablet computing device, or a laptop, or a web service detects a visual fiducial tag and a feature of the machine in an image by using an optical sensor of a digital c"
